year,bhk,furnished_type,property_age,aqi,urban_sprawl_index,flood_percentage,rainfall_mm,night_life_score,price_inr
2024,2,Semi-Furnished,0,173,0.82,0.58,1893.0,5,702000
2019,1,Semi-Furnished,4,179,0.57,0.41,1320.0,9,406500
2021,1,Unfurnished,12,99,0.83,0.46,1452.3,4,325000
2021,1,Semi-Furnished,12,95,0.59,0.52,1675.3,2,356000
2024,1,Furnished,2,215,0.94,0.22,1885.5,1,536000
2023,2,Unfurnished,16,228,0.84,0.04,1774.1,5,520000
2023,2,Unfurnished,18,143,0.41,0.25,1155.5,3,480500
2024,1,Semi-Furnished,4,183,0.54,0.39,1193.7,9,552500
2023,2,Semi-Furnished,4,237,0.28,0.22,1068.2,3,548000
2020,2,Semi-Furnished,14,243,0.92,0.27,1621.5,3,458500
2021,1,Semi-Furnished,9,212,0.26,0.5,1440.3,2,300000
2024,1,Unfurnished,11,117,0.21,0.02,1875.8,3,386000
2021,2,Furnished,23,98,0.6,0.2,1989.4,9,787000
2018,3,Semi-Furnished,10,153,0.68,0.29,1878.6,7,761500
2020,2,Unfurnished,0,234,0.38,0.18,1046.6,2,377000
2022,1,Unfurnished,22,220,0.66,0.27,1944.4,3,300000
2020,3,Semi-Furnished,20,216,0.92,0.24,1103.0,8,760000
2024,2,Semi-Furnished,2,96,0.7,0.55,1447.2,8,821500
2022,2,Semi-Furnished,3,174,0.56,0.3,1297.3,1,562000
2018,3,Furnished,18,124,0.32,0.29,1156.4,1,694500
2024,3,Unfurnished,23,167,0.34,0.15,1171.2,8,769500
2019,2,Furnished,19,121,0.59,0.03,1345.8,8,728500
2021,2,Semi-Furnished,2,130,0.57,0.18,1025.4,2,620000
2018,2,Semi-Furnished,17,192,0.62,0.02,1064.7,8,542000
2021,1,Furnished,2,237,0.61,0.5,1714.3,1,349000
2023,2,Semi-Furnished,6,212,0.47,0.12,1626.2,5,637000
2019,1,Unfurnished,21,87,0.76,0.55,1099.4,5,300000
2019,2,Furnished,20,116,0.37,0.53,1432.3,8,631500
2018,4,Semi-Furnished,23,126,0.88,0.4,1607.7,8,947000
2019,4,Semi-Furnished,0,179,0.36,0.52,1097.6,4,889000
2022,2,Furnished,18,168,0.53,0.53,1972.0,2,575500
2019,3,Semi-Furnished,17,212,0.37,0.47,1848.5,6,619500
2021,2,Semi-Furnished,1,165,0.69,0.3,1227.2,4,624000
2021,3,Semi-Furnished,11,104,0.58,0.57,1518.9,2,743500
2024,2,Semi-Furnished,16,205,0.5,0.49,1507.7,9,651500
2021,1,Unfurnished,20,195,0.58,0.08,1334.2,9,321000
2024,1,Semi-Furnished,20,199,0.54,0.25,1759.6,7,437500
2021,2,Unfurnished,2,109,0.88,0.32,1658.3,2,551000
2022,2,Semi-Furnished,11,127,0.3,0.32,1864.2,3,580000
2024,3,Furnished,24,173,0.83,0.23,1005.1,9,1015500
2020,3,Unfurnished,11,134,0.72,0.32,1604.0,8,755000
2023,2,Unfurnished,5,125,0.48,0.06,1992.8,2,579000
2018,2,Unfurnished,9,110,0.94,0.39,1789.2,5,480500
2021,1,Semi-Furnished,21,241,0.34,0.3,1344.3,2,300000
2019,3,Furnished,5,171,0.45,0.47,1156.1,1,728500
2021,4,Semi-Furnished,13,153,0.5,0.42,1428.3,9,1039000
2019,4,Unfurnished,1,240,0.72,0.07,1424.3,7,886500
2023,3,Semi-Furnished,10,135,0.96,0.21,1585.3,4,909500
2023,1,Semi-Furnished,14,201,0.67,0.44,1066.1,3,340000
2023,1,Unfurnished,7,136,0.89,0.2,1387.2,3,398000
2019,2,Semi-Furnished,21,96,0.92,0.34,1854.8,7,610000
2021,4,Unfurnished,12,218,0.57,0.58,1643.6,9,862000
2023,1,Semi-Furnished,18,96,0.58,0.05,1434.7,7,554500
2022,1,Unfurnished,9,184,0.4,0.11,1310.2,2,300000
2024,3,Unfurnished,8,217,0.68,0.29,1279.8,6,767500
2019,1,Furnished,17,233,0.3,0.44,1748.4,8,336000
2019,2,Semi-Furnished,6,213,0.71,0.2,1428.7,7,568000
2021,3,Unfurnished,2,160,0.91,0.07,1246.2,2,740500
2019,2,Furnished,11,95,0.81,0.19,1812.7,7,772500
2019,1,Semi-Furnished,14,182,0.72,0.39,1265.6,9,371500
2023,3,Unfurnished,21,169,0.87,0.48,1064.4,3,651000
2021,3,Semi-Furnished,20,83,0.78,0.59,1548.1,3,756500
2023,4,Furnished,12,141,0.62,0.46,1279.1,5,1142000
2024,2,Semi-Furnished,5,135,0.62,0.3,1004.9,9,817000
2024,1,Unfurnished,7,230,0.29,0.18,1501.6,1,300000
2023,3,Semi-Furnished,13,112,0.55,0.56,1894.5,7,884000
2024,2,Semi-Furnished,2,110,0.62,0.32,1644.1,7,814000
2021,2,Furnished,15,214,0.58,0.41,1018.2,4,577500
2018,3,Unfurnished,17,212,0.82,0.28,1378.8,6,563000
2023,2,Semi-Furnished,23,244,0.33,0.15,1247.0,1,421500
2022,2,Unfurnished,16,80,0.84,0.33,1670.4,4,574500
2022,1,Semi-Furnished,17,124,0.79,0.5,1456.9,3,375000
2019,2,Furnished,9,126,0.92,0.23,1172.7,5,716500
2024,2,Unfurnished,16,109,0.5,0.4,1456.3,8,641000
2022,2,Unfurnished,15,160,0.34,0.03,1931.4,5,514500
2019,3,Semi-Furnished,20,103,0.81,0.56,1410.8,1,644000
2018,4,Semi-Furnished,23,110,0.67,0.58,1870.3,2,795000
2021,1,Unfurnished,1,107,0.77,0.23,1475.4,2,360500
2021,1,Semi-Furnished,19,211,1.0,0.3,1757.6,9,419000
2021,1,Furnished,3,118,0.36,0.1,1785.8,7,618000
2022,1,Semi-Furnished,10,162,0.53,0.12,1760.7,4,423000
2018,3,Semi-Furnished,6,231,0.35,0.36,1638.5,9,700000
2022,3,Unfurnished,16,150,0.89,0.38,1952.5,9,802000
2024,3,Furnished,24,88,0.21,0.2,1928.6,7,1003000
2022,2,Unfurnished,18,101,0.31,0.22,1302.8,9,607000
2018,2,Unfurnished,5,206,0.4,0.3,1694.7,9,444000
2018,2,Unfurnished,9,81,0.82,0.56,1664.8,7,512000
2024,1,Semi-Furnished,20,170,0.7,0.09,1200.3,5,466500
2018,3,Furnished,3,95,0.51,0.33,1265.1,9,971500
2018,4,Unfurnished,24,84,0.33,0.03,1310.8,3,784500
2021,2,Furnished,24,219,0.46,0.28,1331.6,4,535000
2024,3,Furnished,0,233,0.79,0.24,1854.4,6,1010000
2020,2,Semi-Furnished,6,94,0.51,0.1,1757.4,7,712000
2020,1,Semi-Furnished,24,146,0.57,0.1,1807.7,8,396000
2018,2,Unfurnished,20,152,0.69,0.27,1913.0,4,356500
2020,2,Unfurnished,15,171,0.93,0.08,1514.3,9,575000
2020,1,Furnished,16,246,0.4,0.18,1835.4,3,307000
2018,3,Semi-Furnished,23,142,0.56,0.04,1695.3,3,653000
2020,3,Unfurnished,4,179,0.45,0.18,1464.8,5,679000
2022,2,Semi-Furnished,21,104,0.57,0.32,1193.9,2,560000
2019,2,Furnished,22,120,0.76,0.45,1430.3,1,528500
2024,3,Semi-Furnished,9,107,0.59,0.5,1206.6,9,992000
2019,3,Unfurnished,6,190,0.87,0.2,1287.2,8,727000
2018,3,Semi-Furnished,12,100,0.64,0.56,1283.5,3,680000
2021,2,Semi-Furnished,6,140,0.51,0.14,1761.0,5,650000
2024,4,Unfurnished,14,182,0.83,0.05,1507.8,8,1063500
2018,1,Unfurnished,16,218,0.55,0.56,1793.1,2,300000
2021,3,Semi-Furnished,22,226,0.61,0.32,1877.4,7,707000
2019,1,Semi-Furnished,2,154,1.0,0.21,1611.7,9,514500
2018,3,Unfurnished,4,80,0.83,0.54,1407.2,4,682000
2024,2,Unfurnished,9,239,0.88,0.47,1856.8,2,453500
2024,2,Unfurnished,4,188,0.67,0.5,1567.5,9,644000
2023,2,Unfurnished,23,156,0.48,0.18,1856.9,1,420000
2022,1,Unfurnished,6,241,0.99,0.52,1265.4,6,300000
2020,3,Semi-Furnished,6,96,0.4,0.39,1565.8,8,875500
2021,3,Semi-Furnished,21,190,0.9,0.44,1211.7,2,659000
2023,4,Semi-Furnished,22,98,0.93,0.19,1698.4,7,1146500
2020,1,Semi-Furnished,13,153,0.85,0.15,1586.9,7,444500
2020,3,Unfurnished,22,249,0.29,0.24,1556.0,3,454000
2018,3,Semi-Furnished,14,138,0.88,0.35,1639.1,4,707500
2020,2,Unfurnished,4,194,0.73,0.4,1375.4,8,519000
2022,1,Unfurnished,4,117,0.74,0.3,1192.0,6,432000
2024,3,Unfurnished,3,110,0.83,0.42,1806.4,2,815000
2023,4,Furnished,19,185,0.59,0.42,1384.4,6,1086000
2020,3,Unfurnished,20,190,0.41,0.4,1988.9,7,591000
2018,2,Furnished,8,129,0.66,0.15,1481.0,8,734500
2022,2,Unfurnished,11,205,0.29,0.27,1490.0,8,508500
2019,1,Semi-Furnished,15,237,0.74,0.46,1677.8,8,300000
2024,3,Semi-Furnished,21,182,0.59,0.53,1666.7,8,832500
2024,3,Unfurnished,7,242,0.6,0.3,1180.5,6,738000
2023,1,Unfurnished,8,138,0.35,0.59,1272.3,1,300000
2024,3,Furnished,11,200,0.23,0.1,1231.5,4,913000
2020,2,Semi-Furnished,19,224,0.69,0.13,1053.4,2,430500
2018,4,Unfurnished,6,174,0.73,0.28,1022.4,7,867000
2024,2,Unfurnished,20,228,0.6,0.31,1645.0,1,385500
2024,1,Furnished,3,173,0.81,0.25,1498.6,5,635500
2019,2,Furnished,22,131,0.65,0.26,1894.6,8,675000
2019,2,Semi-Furnished,2,221,0.88,0.29,1300.8,4,523500
2021,1,Unfurnished,0,95,0.43,0.19,1787.5,7,449500
2022,2,Furnished,6,134,0.39,0.08,1103.2,5,783000
2020,2,Unfurnished,8,216,0.41,0.57,1816.4,1,300000
2024,3,Semi-Furnished,1,215,0.22,0.48,1921.2,2,750000
2024,1,Semi-Furnished,6,241,0.92,0.49,1627.3,5,427500
2018,2,Unfurnished,9,188,1.0,0.22,1736.0,7,474000
2021,1,Semi-Furnished,1,240,0.85,0.24,1987.8,7,434000
2022,3,Furnished,12,173,0.53,0.56,1378.2,9,936000
2021,1,Semi-Furnished,2,86,0.48,0.58,1029.4,3,415000
2023,4,Unfurnished,12,228,0.82,0.57,1682.6,4,838500
2022,3,Unfurnished,9,212,0.61,0.39,1013.3,3,625500
2024,2,Unfurnished,11,219,0.95,0.15,1568.3,8,638500
2024,2,Unfurnished,2,160,0.42,0.36,1597.5,9,678000
2022,1,Semi-Furnished,19,167,0.46,0.35,1584.5,8,411500
2024,2,Semi-Furnished,5,244,1.0,0.54,1165.9,2,570000
2020,3,Unfurnished,2,187,0.98,0.19,1076.7,1,652500
2022,4,Unfurnished,24,162,0.91,0.12,1907.7,5,911000
2021,1,Unfurnished,1,124,0.52,0.16,1541.6,2,329000
2022,2,Semi-Furnished,22,159,0.87,0.15,1323.1,3,575500
2024,3,Semi-Furnished,21,104,0.43,0.39,1771.7,9,935500
2020,3,Semi-Furnished,13,106,0.4,0.49,1921.7,3,715500
2020,1,Semi-Furnished,14,130,0.64,0.22,1404.2,1,311000
2023,2,Semi-Furnished,17,198,0.89,0.11,1098.3,9,719500
2021,2,Semi-Furnished,18,249,0.28,0.21,1692.6,2,387500
2019,3,Unfurnished,21,187,0.65,0.33,1907.5,6,573500
2019,2,Semi-Furnished,9,249,0.69,0.4,1980.4,7,485000
2022,2,Unfurnished,19,139,0.66,0.33,1813.5,9,582500
2023,4,Unfurnished,16,151,0.37,0.15,1268.2,8,993500
2018,3,Furnished,16,159,0.25,0.55,1358.2,6,723500
2022,3,Unfurnished,18,151,0.92,0.26,1136.7,4,712000
2023,2,Semi-Furnished,23,175,0.66,0.28,1712.7,4,564000
2021,1,Semi-Furnished,3,205,0.81,0.58,1169.3,4,344000
2021,4,Unfurnished,10,229,0.49,0.52,1432.0,2,722000
2021,2,Unfurnished,16,175,0.23,0.48,1531.8,7,426000
2021,1,Semi-Furnished,23,218,0.41,0.11,1382.5,1,300000
2021,2,Unfurnished,9,188,0.26,0.5,1149.7,5,408000
2023,1,Unfurnished,21,85,0.26,0.27,1289.8,4,325500
2023,2,Furnished,16,101,0.37,0.13,1632.8,2,726500
2020,3,Semi-Furnished,11,182,0.71,0.59,1726.8,9,785500
2019,4,Unfurnished,9,91,0.85,0.1,1614.6,1,884000
2024,4,Unfurnished,9,106,0.86,0.55,1965.8,4,1012500
2021,1,Semi-Furnished,5,208,0.95,0.0,1613.6,6,472000
2018,2,Unfurnished,16,159,0.73,0.26,1225.3,4,375000
2024,1,Unfurnished,18,246,0.22,0.02,1491.1,4,300000
2023,3,Semi-Furnished,1,139,0.5,0.55,1836.2,2,813500
2018,2,Unfurnished,3,195,0.29,0.08,1325.8,9,487000
2018,3,Semi-Furnished,17,149,0.82,0.4,1737.0,9,768000
2018,3,Semi-Furnished,20,232,0.3,0.38,1785.2,1,461000
2020,2,Unfurnished,3,227,0.28,0.47,1934.0,1,300000
2023,2,Unfurnished,5,115,0.22,0.45,1401.2,8,624500
2018,4,Semi-Furnished,13,230,0.96,0.02,1259.4,9,978000
2021,4,Semi-Furnished,6,208,0.83,0.23,1507.9,3,960500
2022,2,Unfurnished,11,234,0.47,0.19,1993.7,3,409500
2018,2,Unfurnished,1,131,0.5,0.58,1902.1,2,367000
2020,4,Furnished,17,209,0.25,0.46,1284.0,9,1002000
2024,1,Unfurnished,23,228,0.33,0.42,1196.7,2,300000
2023,2,Furnished,12,216,0.45,0.27,1477.0,7,718500
2020,1,Unfurnished,12,190,0.51,0.53,1165.8,2,300000
2018,2,Unfurnished,24,167,0.7,0.01,1758.0,6,401500
2023,1,Semi-Furnished,4,127,0.48,0.14,1036.6,3,490000
2022,2,Unfurnished,6,184,0.96,0.42,1224.7,1,459000
2018,2,Unfurnished,11,246,0.47,0.31,1018.2,6,319500
2020,2,Unfurnished,24,121,0.95,0.32,1226.7,2,406000
2019,4,Furnished,13,173,0.78,0.25,1052.3,7,1072500
2021,3,Unfurnished,0,124,0.92,0.1,1673.6,9,923000
2024,3,Semi-Furnished,23,209,0.76,0.1,1570.3,1,737000
2020,3,Semi-Furnished,9,183,0.65,0.18,1213.9,4,750000
2023,1,Semi-Furnished,24,186,0.61,0.28,1205.1,5,363000
2018,2,Semi-Furnished,8,225,0.43,0.49,1291.2,9,484500
2021,4,Unfurnished,9,118,0.44,0.27,1798.2,3,890500
2018,2,Unfurnished,6,213,0.38,0.54,1150.5,6,334000
2023,1,Unfurnished,15,249,0.51,0.07,1121.7,5,300000
2018,3,Unfurnished,11,106,0.3,0.16,1508.1,5,645000
2019,2,Unfurnished,11,222,0.51,0.04,1865.0,2,338000
2021,2,Unfurnished,18,98,0.87,0.31,1224.1,5,542500
2021,4,Furnished,12,143,0.9,0.05,1106.3,3,1129500
2023,3,Furnished,20,130,0.71,0.48,1491.7,2,859000
2024,2,Unfurnished,17,136,0.41,0.02,1732.2,6,617000
2019,4,Unfurnished,2,99,0.39,0.29,1618.3,1,836500
2020,3,Unfurnished,6,99,0.42,0.25,1418.2,6,755500
2018,3,Unfurnished,0,161,0.6,0.12,1040.4,8,741000
2022,1,Unfurnished,2,180,0.98,0.35,1300.6,3,335500
2018,1,Furnished,20,117,0.29,0.23,1919.3,7,417500
2018,3,Unfurnished,13,117,0.6,0.12,1222.9,3,620000
2020,3,Unfurnished,3,144,0.75,0.5,1614.0,6,721000
2018,3,Unfurnished,18,155,0.4,0.4,1907.4,7,575000
2019,1,Furnished,21,212,0.98,0.01,1488.1,3,369500
2019,1,Furnished,5,202,0.48,0.3,1446.3,5,406000
2021,3,Semi-Furnished,19,204,0.95,0.16,1141.1,3,722000
2023,1,Semi-Furnished,8,106,0.68,0.55,1980.6,4,469500
2024,2,Unfurnished,10,182,0.2,0.44,1176.7,5,502000
2022,1,Unfurnished,21,99,0.45,0.37,1481.5,7,345500
2018,1,Semi-Furnished,14,139,0.22,0.05,1171.3,4,300000
2018,3,Semi-Furnished,8,247,0.51,0.56,1348.4,4,560000
2020,3,Unfurnished,10,162,0.95,0.09,1884.0,2,669500
2023,2,Unfurnished,9,85,0.82,0.27,1643.3,5,661500
2019,2,Semi-Furnished,1,243,0.7,0.41,1009.8,3,450500
2022,3,Unfurnished,21,191,0.63,0.3,1966.8,4,622000
2021,2,Semi-Furnished,13,218,0.5,0.53,1783.9,8,537500
2019,2,Unfurnished,3,193,0.37,0.5,1997.5,4,364000
2023,4,Unfurnished,1,163,0.25,0.08,1762.9,6,1015000
2024,1,Semi-Furnished,4,235,0.35,0.37,1764.9,3,364500
2021,4,Furnished,13,101,0.48,0.03,1699.4,1,1087500
2024,1,Unfurnished,14,163,0.62,0.43,1423.2,4,324500
2020,2,Unfurnished,18,126,0.36,0.44,1314.9,6,434000
2020,2,Unfurnished,5,181,0.98,0.21,1525.2,9,600500
2018,4,Semi-Furnished,14,159,0.26,0.47,1178.2,5,826500
2024,2,Furnished,13,104,0.28,0.39,1722.4,7,820500
2023,2,Unfurnished,7,170,0.75,0.3,1997.3,1,495000
2022,4,Unfurnished,19,146,0.8,0.27,1600.9,8,978500
2021,2,Furnished,11,239,0.98,0.07,1856.5,4,663500
2019,2,Semi-Furnished,3,224,0.62,0.32,1172.3,8,565000
2023,2,Semi-Furnished,20,119,0.33,0.09,1825.1,9,730500
2023,3,Unfurnished,5,109,0.95,0.39,1907.4,3,812500
2020,1,Unfurnished,10,138,0.98,0.36,1838.9,4,300000
2024,1,Semi-Furnished,22,107,0.94,0.17,1627.3,6,551500
2018,2,Semi-Furnished,21,126,0.9,0.15,1926.4,3,496500
2018,2,Semi-Furnished,6,196,0.26,0.29,1961.5,9,536500
2021,4,Unfurnished,24,230,0.88,0.31,1815.4,3,741500
2020,4,Semi-Furnished,3,162,0.96,0.48,1547.1,7,1047000
2023,3,Furnished,14,136,0.64,0.18,1835.3,7,1021000
2022,3,Furnished,0,208,0.82,0.24,1371.9,5,958000
2020,3,Unfurnished,8,108,0.73,0.21,1346.6,6,773500
2021,1,Semi-Furnished,22,143,0.43,0.24,1347.9,1,300000
2021,3,Semi-Furnished,19,178,0.67,0.34,1199.2,3,693000
2020,2,Furnished,7,116,0.91,0.33,1622.9,3,710500
2021,2,Semi-Furnished,11,207,0.6,0.22,1661.5,2,495000
2020,3,Furnished,6,214,0.67,0.36,1859.6,1,749000
2019,2,Furnished,17,169,0.63,0.37,1694.5,9,663500
2020,3,Unfurnished,0,166,0.43,0.32,1779.9,4,669000
2024,2,Semi-Furnished,8,143,0.71,0.27,1688.8,8,787500
2020,3,Semi-Furnished,6,97,0.61,0.05,1697.0,7,926500
2021,1,Unfurnished,13,108,0.39,0.32,1340.5,6,328000
2024,3,Unfurnished,0,193,0.92,0.43,1965.9,1,734500
2021,3,Unfurnished,12,139,0.96,0.13,1638.8,3,727500
2018,2,Semi-Furnished,19,133,0.24,0.47,1587.1,5,425500
2018,2,Unfurnished,14,151,0.7,0.35,1847.2,1,316500
2024,1,Furnished,4,228,0.53,0.14,1421.0,1,484000
2019,1,Semi-Furnished,4,228,0.62,0.1,1096.3,9,409000
2018,3,Semi-Furnished,13,137,0.5,0.15,1240.1,1,645500
2020,4,Unfurnished,13,115,0.58,0.46,1808.1,4,849000
2021,2,Semi-Furnished,13,224,0.46,0.15,1731.8,8,584500
2018,3,Semi-Furnished,4,159,0.29,0.41,1117.2,9,768500
2018,3,Unfurnished,10,94,0.44,0.33,1069.7,6,670500
2019,2,Furnished,18,119,0.74,0.33,1621.9,8,705500
2024,3,Semi-Furnished,4,160,0.24,0.51,1938.6,6,867500
2024,3,Unfurnished,3,130,0.51,0.52,1174.9,8,868000
2023,2,Furnished,14,220,0.23,0.32,1549.0,7,675000
2019,2,Unfurnished,20,245,0.49,0.04,1812.0,9,408000
2020,1,Semi-Furnished,6,176,0.27,0.1,1528.7,9,446000
2024,4,Semi-Furnished,4,233,0.47,0.57,1351.1,2,928500
2021,4,Unfurnished,14,222,0.87,0.08,1790.6,5,873000
2019,3,Semi-Furnished,13,196,0.69,0.5,1771.2,2,603000
2018,1,Semi-Furnished,23,212,0.75,0.32,1830.5,6,300000
2021,2,Semi-Furnished,23,81,0.6,0.07,1945.1,4,623500
2021,1,Unfurnished,2,194,0.94,0.55,1150.6,8,357500
2018,1,Unfurnished,4,157,0.63,0.56,1340.8,4,300000
2019,3,Unfurnished,11,172,0.28,0.37,1986.0,6,595500
2018,4,Furnished,19,156,0.95,0.23,1594.5,1,929500
2023,4,Unfurnished,13,139,0.31,0.36,1670.1,4,903000
2021,3,Semi-Furnished,4,175,1.0,0.38,1884.1,4,818000
2022,1,Furnished,23,177,0.55,0.37,1691.0,6,447500
2022,2,Semi-Furnished,3,135,0.26,0.44,1683.2,8,690000
2020,2,Furnished,20,197,0.89,0.04,1104.5,4,626000
2024,3,Furnished,15,198,0.27,0.06,1506.8,4,905000
2018,3,Unfurnished,6,117,0.34,0.17,1673.2,3,621500
2018,2,Unfurnished,2,181,0.53,0.21,1807.3,8,490500
2020,2,Unfurnished,21,130,0.74,0.38,1413.2,6,462000
2020,1,Unfurnished,24,248,0.3,0.1,1123.5,4,300000
2020,2,Semi-Furnished,3,206,0.7,0.32,1365.8,5,561000
2021,2,Unfurnished,19,182,0.82,0.11,1429.7,2,418500
2023,1,Semi-Furnished,21,208,0.3,0.21,1751.0,9,415500
2018,2,Unfurnished,5,164,0.72,0.56,1019.8,8,459000
2021,3,Unfurnished,2,182,0.97,0.54,1385.8,2,654000
2020,2,Semi-Furnished,0,97,0.97,0.57,1447.9,8,734500
2018,1,Unfurnished,2,106,0.33,0.35,1550.1,6,300000
2021,1,Semi-Furnished,23,171,0.81,0.3,1970.0,1,300000
2023,2,Furnished,7,151,0.88,0.51,1740.6,4,755500
2021,2,Semi-Furnished,15,174,0.91,0.05,1222.4,5,624500
2023,2,Unfurnished,21,155,0.46,0.59,1633.7,2,387500
2020,2,Furnished,6,249,0.42,0.28,1346.1,5,581000
2023,2,Unfurnished,17,85,0.24,0.41,1811.4,1,462500
2018,3,Semi-Furnished,8,169,0.52,0.44,1171.1,2,617000
2020,2,Unfurnished,2,159,0.3,0.38,1144.5,1,384000
2018,3,Unfurnished,17,162,0.83,0.53,1101.4,2,496500
2022,2,Furnished,15,161,0.31,0.17,1544.1,2,629500
2019,1,Unfurnished,20,231,0.86,0.32,1123.3,7,300000
2023,2,Furnished,0,124,0.29,0.26,1041.8,7,856000
2019,2,Unfurnished,20,150,0.58,0.42,1332.5,7,415000
2019,4,Furnished,19,86,0.51,0.24,1798.2,2,1004000
2023,3,Furnished,15,223,0.68,0.54,1156.1,3,799000
2020,4,Semi-Furnished,11,205,0.62,0.29,1357.9,2,858500
2022,4,Semi-Furnished,5,137,0.68,0.32,1435.7,5,1078000
2018,3,Semi-Furnished,20,136,0.2,0.3,1876.0,3,599000
2021,2,Furnished,8,249,0.3,0.37,1476.4,6,595500
2018,2,Unfurnished,20,190,0.61,0.31,1512.0,6,344500
2021,4,Semi-Furnished,12,221,0.38,0.56,1254.6,5,863000
2018,3,Unfurnished,23,135,0.26,0.08,1668.5,2,504000
2023,1,Unfurnished,11,91,0.37,0.01,1025.7,8,499500
2022,3,Unfurnished,12,172,0.82,0.31,1964.4,6,743500
2021,1,Semi-Furnished,17,94,0.63,0.46,1498.1,2,345000
2024,2,Furnished,18,87,0.35,0.39,1061.8,1,699500
2020,2,Unfurnished,18,132,0.21,0.58,1559.2,6,392000
2018,3,Semi-Furnished,18,216,0.49,0.11,1514.0,2,566500
2018,3,Semi-Furnished,5,171,0.49,0.42,1240.7,4,670000
2021,2,Semi-Furnished,15,86,0.79,0.49,1208.8,4,614500
2020,1,Furnished,6,123,0.94,0.55,1270.8,9,598500
2020,2,Unfurnished,6,93,0.5,0.32,1129.7,7,579000
2023,3,Unfurnished,22,154,0.75,0.22,1531.4,9,808000
2024,2,Unfurnished,18,194,0.71,0.57,1878.9,6,501500
2023,2,Furnished,15,171,0.54,0.47,1923.1,1,607500
2023,1,Furnished,16,213,0.25,0.28,1953.0,8,500000
2023,2,Unfurnished,21,242,0.58,0.39,1600.4,4,382500
2023,2,Unfurnished,18,231,0.48,0.17,1621.5,8,511500
2023,3,Semi-Furnished,15,152,0.64,0.37,1310.5,3,791500
2022,1,Semi-Furnished,15,209,0.3,0.32,1885.3,6,338000
2020,3,Semi-Furnished,18,110,0.78,0.02,1488.1,4,815000
2023,2,Furnished,14,205,0.83,0.52,1279.3,4,660000
2020,2,Furnished,2,198,0.51,0.29,1965.7,2,599500
2020,2,Furnished,14,106,0.34,0.29,1705.4,4,654500
2019,3,Semi-Furnished,24,189,0.7,0.17,1464.7,1,585500
2022,4,Unfurnished,15,238,0.96,0.12,1068.6,1,805000
2023,4,Semi-Furnished,19,185,0.76,0.17,1140.2,5,1020500
2018,2,Semi-Furnished,4,199,0.3,0.39,1196.5,1,372500
2021,2,Unfurnished,18,161,0.52,0.06,1902.8,3,442000
2024,3,Unfurnished,9,131,0.93,0.2,1971.6,3,827000
2018,3,Semi-Furnished,12,93,0.71,0.59,1267.0,4,709500
2022,1,Semi-Furnished,14,99,0.32,0.16,1498.3,1,379000
2021,3,Semi-Furnished,11,197,0.78,0.58,1791.9,7,769000
